name,section,total,small_average,small_median,large_average,large_median,small_distance,large_distance,choice
ACL2,Community Books,4696663,99929.0,8535,316.04118616144973,141,4.198994825710559,1.5573478460424273,large
Isabelle,Archive of Formal Proofs,3612735,5725.412044374009,3169,636.761387283237,306,1.3394494115586406,0.8568253899462182,large
Agda,Standard Library,107468,3980.296296296296,341,111.51282051282051,58,0.9758911547227962,2.5990808206223095,small
Coq,Standard Library,202809,5200.2307692307695,2679,352.0188284518828,169.5,1.2432378951927374,1.4495357230026178,small
HOL4,HOL4 Library,530593,7802.838235294118,3235.5,658.8838821490468,255,1.649022435720208,0.8226730712256067,large
HOL Light,HOL Light Library,800383,8606.268817204302,928,1859.4089709762534,330,1.7470257618422886,0.2147935715816729,large
Isabelle,Library,915912,65422.28571428572,2306.5,793.4254143646409,497,3.775397852466706,0.6368608473014623,large
Lean,Lean Mathematical Library,655774,22612.896551724138,8934,381.0271247739602,241,2.713055279296369,1.3703498208653055,large
Mizar,Mizar Mathematical Library,3099214,2282.1899852724596,1940.5,nan,241,0.4196703937105086,nan,small
PVS,NASA PVS Library of Formal Developments,163837,2685.8524590163934,1590,79.55582882439744,55,0.5825330588551525,2.936761362528231,small
Metemath,Metamath Libary,917563,83414.81818181818,864,nan,55,4.018360861515004,nan,small
